"Province Name","Province Name","Province Code","District Name","District Name","District Code","OD Name","OD Name","OD Code","Health Center Code","Health Center Name","Health Center Name","Commune Name","Commune Name","Commune Code","Village Name","Village Name","Village Code","HaveVMW"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Kouk Thnong Kaeut","eKakfñúgekIt","01020607","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Kouk Thnong Kandal","eKakfñúgkNþal","01020608","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Ou Snguot","GUrs¶Üt","01020609","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Ou Prasat","GUrR)asaT","01020610","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Kouk Ampil","eKakGMBil","01020611","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Ra Chamkar Chek","ra:cMkareck","01020612","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Pou Rieng","eBaF×erog","01020613","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010114","Ou Prasat","GUrR)asaT","Ou Prasat","GUrR)asaT","010206","Rung Krabau","rUgRke)A","01020614","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Phnum Touch Tboung","PñMtUct,Úg","01020701","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Phnum Touch Cheung","PñMtUceCIg","01020702","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Thnal Bat","fñl;bt;","01020703","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Ou Nhor","GUrjr","01020704","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Boeng Tras","bwgRts;","01020705","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Monourom","menarmü","01020706","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Paoy Ta Sek","e)a:ytaesk","01020707","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Prey Totueng","éRBTTwg","01020708","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Boeng Reang","bwgraMg","01020709","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Phnum Touch","PñMtUc","010207","Voat Thmei","vtþfIµ","01020710","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Pou Pir Daeum","eBaF×BIredIm","01020801","No"
